date,strategy,soc_start_kwh,soc_end_kwh,plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,spill_kwh,original_plan_kwh,increase_kwh,decrease_kwh,original_cost_yuan,increase_cost_yuan,decrease_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_intervals
2025-02-01,q4_2_ridge,9902.8112878703687,7146.478254398954,42547.167056565202,16908.617003353356,16176.679502840492,0,7437.0536227190069,42547.167056565202,0,0,18284.532610557413,0,0,0,18284.532610557413,0
2025-02-02,q4_2_ridge,7146.478254398954,7209.2122243595595,92754.40921226106,21060.854292104061,17002.831403639742,0,10340.108373796742,92754.40921226106,0,0,65534.244158696711,0,0,0,65534.244158696711,0
2025-02-03,q4_2_ridge,7209.2122243595595,7007.6970895712166,89830.953192255081,21202.436760265176,17355.337397124305,0,5766.9373291142119,89830.953192255081,0,0,64351.181299610849,0,0,0,64351.181299610849,0
2025-02-04,q4_2_ridge,7007.6970895712166,7135.7078945229432,90084.300770894042,24007.059031467397,19330.508091032032,0,4212.8858804586807,90084.300770894042,0,0,64063.863220687446,0,0,0,64063.863220687446,0
2025-02-05,q4_2_ridge,7135.7078945229432,6131.2682336912812,83148.586705438996,22344.56911979655,19003.096681783696,1168.5128029191799,227.20008701199242,83148.586705438996,0,0,58624.291564708445,0,0,6703.9817365417775,65328.273301250221,9
2025-02-06,q4_2_ridge,6131.2682336912812,5990.5424038382062,86581.161026788206,24386.377021486755,19879.618634272047,56.458860649377584,1859.8042835562123,86581.161026788206,0,0,60904.409712565801,0,0,397.59390372326192,61302.003616289061,3
2025-02-07,q4_2_ridge,5990.5424038382062,5732.0304849388376,39456.080820464471,20122.707770670939,16532.054021252894,438.14701727820102,4497.8944216579639,39456.080820464471,0,0,16391.187812772601,0,0,1843.8712049756939,18235.059017748295,2
2025-02-08,q4_2_ridge,5732.0304849388376,5851.0310981221992,35353.307179140094,20317.985927849044,16350.468049692703,1223.145256669332,1031.7718409864208,35353.307179140094,0,0,14425.427360229824,0,0,5817.7723170438858,20243.199677273711,8
2025-02-09,q4_2_ridge,5851.0310981221992,5904.9783698211231,81953.570015178935,23541.438644250793,19020.012757314111,2209.2268610669048,85.95502264248455,81953.570015178935,0,0,56515.646723724574,0,0,13247.453209900581,69763.099933625141,17
2025-02-10,q4_2_ridge,5904.9783698211231,5770.5710018317714,82241.219064715711,21196.065438800564,17289.77963661887,295.66151069175612,4303.9571898924514,82241.219064715711,0,0,55887.385249155472,0,0,1624.6614128779736,57512.046662033456,9
2025-02-11,q4_2_ridge,5770.5710018317714,5958.5463157819468,80858.782527564297,23743.614640947366,19063.150076612212,710.70758155041369,1668.4284114462134,80858.782527564297,0,0,54651.668187117772,0,0,4267.4729844427857,58919.14117156055,11
2025-02-12,q4_2_ridge,5958.5463157819468,6067.3383619151055,82378.10650309184,23239.035476782796,18725.705894674225,127.04685450881172,2725.0876421587664,82378.10650309184,0,0,55770.321801694045,0,0,697.30865918557902,56467.63046087962,6
2025-02-13,q4_2_ridge,6067.3383619151055,6201.7722684142964,81651.438313878345,20752.086107602812,16688.199231309009,0,6258.0724209178716,81651.438313878345,0,0,54928.51622597035,0,0,0,54928.51622597035,0
2025-02-14,q4_2_ridge,6201.7722684142964,5836.0556558715562,35178.666631038192,20576.862793204535,16996.403813784142,598.70218058853777,2395.108015539673,35178.666631038192,0,0,14588.939579348873,0,0,2876.5753370922293,17465.514916441105,6
2025-02-15,q4_2_ridge,5836.0556558715562,5800.07954576875,35701.052332475323,20298.055882657307,16473.803764044947,219.62667727470983,2816.3357911376679,35701.052332475323,0,0,15212.054714474449,0,0,930.0144455119771,16142.069159986429,4
2025-02-16,q4_2_ridge,5800.07954576875,6192.7591591579776,79680.440078039421,22763.650499944873,18085.145252905044,992.45650623525125,617.01223723484236,79680.440078039421,0,0,53661.797244863017,0,0,5552.8366388784007,59214.633883741422,8
2025-02-17,q4_2_ridge,6192.7591591579776,6125.6740003586528,78633.450416411317,21947.567811568042,17837.90657028951,60.289087938263378,3400.2150964043917,78633.450416411317,0,0,52642.200975539454,0,0,375.95492307978088,53018.155898619239,2
2025-02-18,q4_2_ridge,6125.6740003586528,6278.7718313123105,78206.831051844347,22244.900798450355,17880.581598886492,8.6395906775750291,1759.7636596247225,78206.831051844347,0,0,51730.889328771307,0,0,45.380273261242429,51776.269602032553,2
2025-02-19,q4_2_ridge,6278.7718313123105,6010.1248190148399,78380.687638155447,22645.79926672118,18584.879717111871,439.98490496927457,1880.4256101820802,78380.687638155447,0,0,51933.696714330115,0,0,2335.6298596688048,54269.326573998915,8
2025-02-20,q4_2_ridge,6010.1248190148399,6571.6438333529804,78607.261127503589,22355.783188957299,17602.817270151085,39.417515381135786,2900.5789907451754,78607.261127503589,0,0,52231.724234017376,0,0,221.15197004586233,52452.876204063243,1
2025-02-21,q4_2_ridge,6571.6438333529804,6244.7448907371408,34967.687615471834,20757.20876642043,17107.548149154802,13.969299619969568,5771.7342644928403,34967.687615471834,0,0,14807.098010237181,0,0,63.355450284162607,14870.453460521345,2
2025-02-22,q4_2_ridge,6244.7448907371408,6458.3481830905384,35576.74336388307,20278.512200081936,16233.351918948309,0,3686.8201994161109,35576.74336388307,0,0,15056.584272942819,0,0,0,15056.584272942819,0
2025-02-23,q4_2_ridge,6458.3481830905384,6676.0438670760996,77849.460581037638,23193.970257101166,18591.18979266494,0,1714.8264332680833,77849.460581037638,0,0,51565.322189556282,0,0,0,51565.322189556282,0
2025-02-24,q4_2_ridge,6676.0438670760996,6275.4269633914564,75737.853726967704,21091.529545399288,17444.694145089597,31.583814696927561,3919.5685246882795,75737.853726967704,0,0,50066.607303953519,0,0,161.37750119395139,50227.984805147469,1
2025-02-25,q4_2_ridge,6275.4269633914564,6428.1952305811265,76324.607103129005,21391.958601684491,17189.995026893739,41.058208573737033,6342.3785035786614,76324.607103129005,0,0,49368.994888496243,0,0,211.45373370719017,49580.448622203432,2
2025-02-26,q4_2_ridge,6428.1952305811265,6451.1580714111833,76089.27545057892,23500.203319939057,19014.498132403576,116.17424197881826,2904.8964716889186,76089.27545057892,0,0,49600.795877704048,0,0,749.26577364238847,50350.061651346434,1
2025-02-27,q4_2_ridge,6451.1580714111833,6611.7762910255733,74708.293411979801,23083.487458126783,18553.068443429751,532.13671169436725,3753.4269089771351,74708.293411979801,0,0,47399.820801100475,0,0,2798.5722490199682,50198.393050120452,5
2025-02-28,q4_2_ridge,6611.7762910255733,6376.3772345964335,33907.040998130396,19005.781432493437,15606.542111105915,0,7215.208126742873,33907.040998130396,0,0,13903.505704925949,0,0,0,13903.505704925949,0
