objective,dual_objective,gap,stationarity,dual_sign_violation,complementarity,equality_residual,inequality_violation,case,difference
871.6707111557197,871.6707111557189,7.958078640513122e-13,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-13,q4_adaptive_2025-03-20_3,2.0463630789890885e-12
332.7775750436526,332.777575043646,6.59383658785373e-12,4.440892098500626e-16,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-13,q4_adaptive_2025-06-21_1,2.2737367544323206e-13
70.36819642252019,70.3681964225265,6.30961949354969e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,3.637978807091713e-12,q4_adaptive_2025-06-21_2,1.9326762412674725e-12
-313.451262653612,-313.45126265361125,7.389644451905042e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,q4_adaptive_2025-06-21_3,5.684341886080802e-14
-1058.6067287434175,-1058.6067287434184,9.094947017729282e-13,5.551115123125783e-17,0.0,0.0,1.1368683772161603e-13,0.0,q4_adaptive_2025-09-23_1,2.2737367544323206e-13
34.877458113091976,34.87745811309901,7.034373084024992e-12,2.7755575615628914e-16,0.0,0.0,1.1368683772161603e-13,5.684341886080801e-13,q4_adaptive_2025-09-23_2,1.1795009413617663e-12
1018.9047400207991,1018.9047400207942,4.888534022029489e-12,0.0,0.0,0.0,1.1368683772161603e-13,0.0,q4_adaptive_2025-09-23_3,4.547473508864641e-13
-654.979633840703,-654.9796338406961,6.821210263296962e-12,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q4_adaptive_2025-12-21_1,1.1368683772161603e-12
1770.7349947831754,1770.7349947831844,9.094947017729282e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-13,q4_adaptive_2025-12-21_2,0.0
-252.38512744332044,-252.38512744332058,1.4210854715202004e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,q4_adaptive_2025-12-21_3,5.968558980384842e-13
-837.2338826680509,-837.2338826680605,9.549694368615746e-12,2.7755575615628914e-16,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-12,q3_online_2025-03-20_1,1.9326762412674725e-12
-23.35340476710411,-23.353404767102802,1.3073986337985843e-12,4.440892098500626e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q3_online_2025-03-20_2,2.0392576516314875e-12
867.8827177575422,867.8827177575371,5.115907697472721e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q3_online_2025-03-20_3,1.5916157281026244e-12
350.7914892773457,350.7914892773514,5.6843418860808015e-12,2.7755575615628914e-16,0.0,0.0,1.1368683772161603e-13,3.637978807091713e-12,q3_online_2025-06-21_1,6.366462912410498e-12
70.50411592346407,70.50411592346455,4.831690603168681e-13,3.0531133177191805e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q3_online_2025-06-21_2,2.1316282072803006e-13
-291.283094398921,-291.2830943989208,1.7053025658242404e-13,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,0.0,q3_online_2025-06-21_3,5.684341886080802e-14
-1043.9740490301417,-1043.9740490301422,4.547473508864641e-13,5.551115123125783e-17,0.0,0.0,1.1368683772161603e-13,0.0,q3_online_2025-09-23_1,1.8189894035458565e-12
39.68296555001395,39.68296555001007,3.879563337250147e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,5.684341886080802e-14,q3_online_2025-09-23_2,2.5082158572331537e-12
1049.9454862902658,1049.9454862902653,4.547473508864641e-13,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,0.0,q3_online_2025-09-23_3,6.821210263296962e-13
-341.5261090149258,-341.5261090149147,1.1084466677857563e-11,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,8.185452315956354e-12,q3_online_2025-12-21_1,3.467448550509289e-12
1390.3403027936542,1390.3403027936492,5.002220859751105e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,5.684341886080801e-13,q3_online_2025-12-21_2,1.3642420526593924e-12
-2.8421709430404007e-13,3.9257486150745535e-12,4.209965709378594e-12,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q3_online_2025-12-21_3,2.8421709430404007e-13
-1166.3994315270677,-1166.399431527064,3.637978807091713e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,1.3642420526593924e-12,q4_online_2025-03-20_1,4.547473508864641e-13
-271.4611768159509,-271.4611768159332,1.77351466845721e-11,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,q4_online_2025-03-20_2,2.2737367544323206e-12
871.6707111557197,871.6707111557189,7.958078640513122e-13,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-13,q4_online_2025-03-20_3,2.0463630789890885e-12
332.7775750436526,332.777575043646,6.59383658785373e-12,4.440892098500626e-16,0.0,0.0,1.1368683772161603e-13,2.2737367544323206e-13,q4_online_2025-06-21_1,2.2737367544323206e-13
70.36819642252019,70.3681964225265,6.30961949354969e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,3.637978807091713e-12,q4_online_2025-06-21_2,1.9326762412674725e-12
-313.451262653612,-313.45126265361125,7.389644451905042e-13,0.0,0.0,0.0,1.1368683772161603e-13,0.0,q4_online_2025-06-21_3,5.684341886080802e-14
-1058.6067287434175,-1058.6067287434184,9.094947017729282e-13,5.551115123125783e-17,0.0,0.0,1.1368683772161603e-13,0.0,q4_online_2025-09-23_1,2.2737367544323206e-13
34.877458113091976,34.87745811309901,7.034373084024992e-12,2.7755575615628914e-16,0.0,0.0,1.1368683772161603e-13,5.684341886080801e-13,q4_online_2025-09-23_2,1.1795009413617663e-12
1018.9047400207991,1018.9047400207942,4.888534022029489e-12,0.0,0.0,0.0,1.1368683772161603e-13,0.0,q4_online_2025-09-23_3,4.547473508864641e-13
-441.34705531335317,-441.3470553133402,1.2960299500264227e-11,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,7.275957614183426e-12,q4_online_2025-12-21_1,1.9895196601282805e-12
1504.998031196698,1504.9980311966965,1.5916157281026244e-12,2.220446049250313e-16,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q4_online_2025-12-21_2,2.5011104298755527e-12
-4.263256414560601e-13,-5.826450433232822e-13,1.5631940186722204e-13,1.1102230246251565e-16,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,q4_online_2025-12-21_3,4.263256414560601e-13
